候補ID,候補名,カテゴリ,自動化手段,優先度スコア,ステータス,関連backlog,起票日,最終評価日,ファイル名
AC-001,セッション開始時のブランチ整理,セッション管理,hook (SessionStart),9.0,backlog起票済,session-start-branch-cleanup,2026-03-13,2026-03-10,entries/AC-001.md
AC-002,コミットメッセージ規約の遵守,コミット,hook (PreToolUse),6.0,候補,,2026-03-13,2026-03-10,entries/AC-002.md
AC-003,PR URL 出力形式の統一,ドキュメント,hook (Stop),1.5,候補,,2026-03-13,2026-03-10,entries/AC-003.md
AC-004,テンプレートコピーと施策ディレクトリ作成,セッション管理,script,2.0,候補,,2026-03-13,2026-03-10,entries/AC-004.md
AC-005,壁打ちフェーズの実施,セッション管理,skill,1.0,候補,,2026-03-13,2026-03-10,entries/AC-005.md
AC-006,作業履歴のタイムスタンプ付き記録,品質チェック,hook (PostToolUse),1.5,候補,,2026-03-13,2026-03-10,entries/AC-006.md
AC-007,知見記録（ルール化候補・参考情報）,品質チェック,hook (Stop),2.0,候補,,2026-03-13,2026-03-10,entries/AC-007.md
AC-008,課題起票・CSV転記,ファイル管理,script,4.0,候補,,2026-03-13,2026-03-10,entries/AC-008.md
AC-009,ゲート判定の実施,セッション管理,skill,1.3,候補,,2026-03-13,2026-03-10,entries/AC-009.md
AC-010,施策クローズ・アーカイブ移動,ファイル管理,script,6.0,候補,,2026-03-13,2026-03-10,entries/AC-010.md
AC-011,トリアージ走査（inbox/backlog/CSV）,セッション管理,script,2.0,候補,,2026-03-13,2026-03-10,entries/AC-011.md
AC-012,ルール変更時の連動更新チェック,品質チェック,hook (PostToolUse),3.0,候補,,2026-03-13,2026-03-10,entries/AC-012.md
AC-013,マネージャー共通ポリシーの遵守,セッション管理,skill,1.0,候補,,2026-03-13,2026-03-10,entries/AC-013.md
AC-014,外部リポジトリの整理（セッション開始時）,セッション管理,hook (SessionStart),6.0,候補,,2026-03-13,2026-03-10,entries/AC-014.md
